 1_1_s  1.000000,  0.000000,  0.000000,  0.000000 
 1_2_s  1.000000,  0.000000,  0.000000,  0.000000 
 1_3_s  1.000000,  0.000000,  0.000000,  0.000000 
 1_4_s  1.000000,  0.000000,  0.000000,  0.000000 
 1_5_s  1.000000,  0.000000,  0.000000,  0.000000 
 1_6_s  1.000000,  0.000000,  0.000000,  0.000000 
 1_7_s  1.000000,  0.000000,  0.000000,  0.000000 
 1_8_s  0.678293,  1.738095,  0.195744,  3.704278 
 1_9_s  0.821670,  1.023693,  0.095193,  4.914865 
1_10_s  0.890927,  1.061222,  0.141993,  5.452997 
1_11_s  0.947830,  0.716161,  0.072496,  2.847344 
1_12_s  0.943554,  0.421862,  0.060426,  1.847171 
1_13_s  0.915028,  0.758076,  0.095622,  2.737122 
1_14_s  0.921089,  0.644151,  0.092555,  2.911054 
1_15_s  0.933616,  0.483601,  0.050160,  2.272387 
1_16_s  0.865447,  1.111434,  0.119529,  4.794427 
1_17_s  0.874643,  1.363518,  0.192519,  4.434422 
1_18_s  0.921661,  1.223414,  0.187621,  4.442731 
1_19_s  0.762329,  1.293822,  0.108055,  3.709578 
1_20_s  0.965635,  0.339348,  0.043916,  1.071673 
1_21_s  0.967748,  0.576692,  0.082153,  1.403289 
1_22_s  0.927486,  0.398034,  0.068798,  7.787460 
1_23_s  0.775738,  1.568283,  0.097094,  5.241355 
1_24_s  0.907005,  1.342677,  0.079377,  5.202683 
1_25_s  0.863160,  0.799143,  0.041704,  9.344224 
1_26_s  0.820903,  0.890585,  0.073507,  8.342852 
1_27_s  0.969408,  0.222708,  0.030298,  1.269508 
1_28_s  0.967080,  0.214509,  0.031034,  4.428049 
1_29_s  0.974483,  0.166458,  0.023352,  1.419695 
1_30_s  0.781357,  0.543358,  0.000000, 80.148376 
 2_1_s  0.858868,  1.368548,  0.218079, 10.750763 
 2_2_s  0.739179,  3.035019,  0.240524,  9.851088 
 2_3_s  0.756048,  1.339091,  0.159073, 10.357974 
 2_4_s  0.675682,  2.405419,  0.241451, 13.899607 
 2_5_s  0.825650,  1.529787,  0.191100, 11.871395 
 2_6_s  0.838438,  1.096254,  0.160989,  9.500386 
 2_7_s  0.725087,  1.593933,  0.158017, 10.713068 
 2_8_s  0.836889,  1.414937,  0.202150,  9.797481 
 2_9_s  0.814597,  1.169031,  0.160385, 10.644764 
2_10_s  0.745909,  1.338560,  0.144672, 44.066364 
2_11_s  0.716241,  1.204431,  0.025445, 37.032360 
2_12_s  0.694263,  1.604232,  0.173635, 44.290955 
2_13_s  0.859115,  1.064117,  0.153371,  6.643476 
2_14_s  0.883179,  1.122765,  0.181294,  3.529370 
2_15_s  0.609424,  2.043612,  0.352848, 17.756199 
2_16_s  0.719663,  1.880396,  0.306432, 16.316555 
2_17_s  0.814631,  1.132681,  0.126200, 14.542429 
2_18_s  0.830565,  1.145911,  0.219027, 10.502472 
2_19_s  0.797593,  2.189697,  0.237862,  9.529061 
2_20_s  0.667744,  1.749248,  0.182235, 12.698141 
2_21_s  0.858939,  1.311184,  0.142640,  6.311954 
2_22_s  0.771431,  1.163567,  0.119596, 12.977881 
2_23_s  0.696509,  2.592168,  0.202929,  9.402332 
2_24_s  0.740678,  1.483168,  0.286947,  9.232092 
2_25_s  0.852243,  1.692606,  0.207619,  8.635762 
2_26_s  0.800717,  1.368960,  0.235290,  7.614168 
2_27_s  0.751070,  2.290601,  0.222263, 11.102082 
2_28_s  0.729148,  1.563758,  0.226005, 23.332413 
2_29_s  0.843231,  1.376829,  0.193117,  7.679851 
2_30_s  0.798773,  1.981777,  0.288316,  9.009979 
 3_1_s  0.907502,  1.518854,  0.138383,  4.841560 
 3_2_s  0.770479,  0.999233,  0.050800, 48.150345 
 3_3_s  0.884869,  1.269819,  0.105154,  6.416553 
 3_4_s  0.789634,  0.915740,  0.123378, 15.372673 
 3_5_s  0.822520,  0.844188,  0.037523, 20.365341 
 3_6_s  0.908231,  1.500294,  0.162093,  8.932488 
 3_7_s  0.775405,  1.611376,  0.190007,  8.121541 
 3_8_s  0.823680,  2.372482,  0.284180,  7.917644 
 3_9_s  0.851860,  1.499053,  0.233737,  7.024611 
3_10_s  0.785477,  2.019361,  0.210464, 10.263176 
3_11_s  0.858292,  1.672612,  0.163976,  8.695291 
3_12_s  0.903331,  0.654828,  0.055475,  8.508360 
3_13_s  0.922073,  0.895604,  0.120190,  7.137282 
3_14_s  0.887006,  0.939114,  0.153965,  7.404083 
3_15_s  0.685752,  1.988551,  0.180502,  5.392963 
3_16_s  0.857533,  1.923029,  0.270668,  7.122475 
3_17_s  0.927006,  0.975716,  0.095808,  6.327869 
3_18_s  0.685942,  1.643784,  0.151812, 10.977200 
3_19_s  0.664460,  2.053255,  0.118372,  9.183076 
3_20_s  0.913963,  0.725432,  0.083420,  6.514812 
3_21_s  0.866908,  1.751505,  0.264979,  9.029812 
3_22_s  0.888609,  1.352897,  0.093460,  6.458159 
3_23_s  0.892743,  1.632933,  0.161641,  5.004956 
3_24_s  0.840722,  1.294286,  0.086498,  5.133403 
3_25_s  0.929130,  1.114097,  0.181131,  4.219188 
3_26_s  0.835687,  1.945913,  0.207314, 10.070847 
3_27_s  0.818692,  1.522949,  0.216262, 10.146111 
3_28_s  0.659943,  1.990369,  0.118771, 10.688656 
3_29_s  0.944947,  0.694368,  0.099112,  4.141680 
3_30_s  0.859303,  2.517690,  0.251642,  4.767808 
 4_1_s  0.926022,  1.000570,  0.163574,  4.297356 
 4_2_s  0.966362,  0.888704,  0.108501,  2.470684 
 4_3_s  0.961378,  0.831926,  0.121070,  2.655383 
 4_4_s  0.950737,  0.889459,  0.160235,  2.648580 
 4_5_s  0.903850,  0.709230,  0.095123,  6.751216 
 4_6_s  0.901805,  1.653493,  0.147880,  4.334442 
 4_7_s  0.929789,  1.164385,  0.194003,  5.540173 
 4_8_s  0.873345,  1.593330,  0.227638,  8.211815 
 4_9_s  0.917521,  1.153355,  0.172282,  5.470459 
4_10_s  0.924204,  1.340540,  0.136533,  4.267289 
4_11_s  0.931570,  1.015527,  0.116526,  3.266666 
4_12_s  0.920684,  1.461012,  0.121866,  3.180541 
